year,sex,city,longitude,latitude,wing length,body mass,body size index,urbanization,annual temperature,annual precipitation
2014,Male,Shuangyashan,131.2404,46.56097,115.3333333,15.83,0.006471687,0,3.54,48.12
2014,Female,Shuangyashan,131.2486,46.59295,115.1666667,15.56,-0.009567221,0,3.59,48.18
2014,Female,Shuangyashan,131.2404,46.56097,114.3333333,17.05,0.087727095,0,3.59,48.18
2014,Male,Shuangyashan,131.243,46.56064,119,14.85,-0.082636145,0,3.59,48.18
2014,Female,Shuangyashan,131.243,46.56064,111.8333333,18.13,0.166947007,0,3.59,48.18
2014,Male,Shuangyashan,130.9862,46.77774,111.1666667,13.79,-0.101862872,3,3.9,47.37
2014,Female,Shuangyashan,130.9846,46.77706,117.5,16.55,0.035964373,3,3.9,47.37
2014,Male,Shuangyashan,130.9846,46.77706,114.8333333,16.92,0.076559574,3,3.9,47.37
2014,Female,Shuangyashan,130.9863,46.77657,111,14.28,-0.065738481,3,3.9,47.37
2014,Female,Shuangyashan,130.9862,46.77814,115.5,17.6,0.11130095,3,3.9,47.37
2014,Male,Shuangyashan,130.9862,46.77814,111.6666667,15.94,0.039411574,3,3.9,47.37
2014,Male,Shuangyashan,130.9885,46.77949,117.1666667,16.61,0.041870739,3,3.92,47.37
2014,Female,Shuangyashan,130.9885,46.77949,114.1666667,15.98,0.024089471,3,3.92,47.37
2014,Female,Shuangyashan,131.2054,46.62144,116.6666667,16.67,0.048920061,0,3.68,48.28
2014,Male,Shuangyashan,131.2054,46.62144,117.3333333,17,0.063934575,0,3.68,48.28
2014,Male,Shuangyashan,131.2054,46.62144,116.5,17.27,0.085431387,0,3.68,48.28
2014,Male,Shuangyashan,131.2054,46.62144,116,15.7,-0.006415496,0,3.68,48.28
2014,Female,Shuangyashan,131.2054,46.62144,116.1666667,17.6,0.106666604,0,3.68,48.28
2014,Female,Shuangyashan,131.1636,46.63013,113.8333333,15.17,-0.025574244,60,3.88,49.43
2014,Male,Shuangyashan,131.1636,46.63013,120,16.49,0.015379884,60,3.88,49.43
2014,Female,Shuangyashan,131.1576,46.6314,112.8333333,18.35,0.171840423,79,3.97,49.27
